season,r_g,ra9,era,outs,r,er,g
1982,4.7333,4.8098,3.88,12754,2272,1832,240
1983,4.0183,4.0253,3.28,16172,2411,1964,300
1984,3.8333,3.8725,3.27,16036,2300,1943,300
1985,4.0833,4.0863,3.48,17807,2695,2297,330
1986,3.672,3.6684,3.08,20432,2776,2330,378
1987,3.9974,4.0232,3.55,20281,3022,2664,378
1988,4.2619,4.2962,3.8,20249,3222,2853,378
1989,4.2024,4.2176,3.73,22598,3530,3123,420
1990,4.3643,4.4088,3.87,22451,3666,3219,420
1991,4.3938,4.4402,3.95,26932,4429,3945,504
1992,4.7629,4.8413,4.32,26775,4801,4280,504
1993,3.6885,3.7139,3.27,27030,3718,3276,504
1994,4.1528,4.2157,3.74,26810,4186,3709,504
1995,4.1548,4.1923,3.71,26972,4188,3703,504
1996,4.128,4.1524,3.69,27056,4161,3693,504
1997,4.4058,4.4815,4.02,26756,4441,3987,504
1998,4.4107,4.4742,3.99,26830,4446,3967,504
1999,5.3826,5.4385,4.98,28219,5684,5200,528
2000,5.0517,5.1055,4.64,28425,5375,4885,532
2001,5.1085,5.249,4.72,28327,5507,4956,539
2002,4.6353,4.6801,4.24,28453,4932,4465,532
2003,4.6363,4.7061,4.27,28302,4933,4475,532
2004,4.6898,4.7445,4.29,28397,4990,4514,532
2005,4.5893,4.6541,4.21,26837,4626,4189,504
2006,3.9494,4.0074,3.58,26822,3981,3560,504
2007,4.2718,4.2992,3.91,27043,4306,3914,504
2008,4.4861,4.5143,4.11,27046,4522,4121,504
2009,5.1617,5.2318,4.8,28343,5492,5035,532
2010,4.9821,5.0261,4.58,28477,5301,4834,532
2011,4.532,4.5837,4.14,28404,4822,4353,532
2012,4.1165,4.1503,3.82,28494,4380,4033,532
2013,4.6467,4.6856,4.32,30846,5353,4933,576
2014,5.6224,5.72,5.21,30573,6477,5902,576
2015,5.2764,5.3475,4.87,38363,7598,6925,720
2016,5.6069,5.6742,5.17,38419,8074,7357,720
2017,5.3347,5.4094,4.97,38343,7682,7056,720
2018,5.5514,5.6358,5.17,38298,7994,7337,720
2019,4.5472,4.6117,4.17,38336,6548,5914,720
2020,5.1639,5.2327,4.76,38369,7436,6759,720
2021,4.7889,4.9024,4.44,37980,6896,6243,720
2022,4.5299,4.567,4.06,38564,6523,5796,720
2023,4.5986,4.6436,4.14,38503,6622,5905,720
2024,5.375,5.4469,4.91,38367,7740,6972,720
2025,4.7313,4.8003,4.31,38321,6813,6115,720
